차량구분,제조사,모델명,국고보조금
승용,현대자동차,GV60 스탠다드 2WD 19인치,287
승용,현대자동차,GV60 스탠다드 AWD 19인치,261
승용,현대자동차,GV60 스탠다드 AWD 20인치,251
승용,현대자동차,GV60 퍼포먼스 AWD 21인치,236
승용,현대자동차,Electrified GV70 AWD 20인치,244
승용,현대자동차,Electrified GV70 AWD 19인치,260
승용,현대자동차,아이오닉6 스탠다드 2WD 18인치,635
승용,현대자동차,아이오닉6 롱레인지 2WD 18인치,686
승용,현대자동차,아이오닉6 롱레인지 2WD 20인치,680
승용,현대자동차,아이오닉6 롱레인지 AWD 18인치,686
승용,현대자동차,아이오닉6 롱레인지 AWD 20인치,647
승용,현대자동차,코나 일렉트릭 2WD 스탠다드 17인치,573
승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치,623
승용,현대자동차,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),568
승용,현대자동차,아이오닉5 N,232
승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,659
승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 19인치,656
승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 20인치,651
승용,현대자동차,더뉴아이오닉5 AWD 롱레인지 20인치,624
승용,현대자동차,더뉴아이오닉5 AWD 롱레인지 19인치,650
승용,현대자동차,더뉴아이오닉5 AWD 롱레인지 N라인 20인치,602
승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 N라인 20인치,633
승용,현대자동차,Electrified G80 AWD 19인치(2025),275
승용,현대자동차,더뉴아이오닉5 2WD 스탠다드 19인치,561
승용,현대자동차,Electrified GV70 AWD 20인치(2025),250
승용,현대자동차,Electrified GV70 AWD 19인치(2025),266
승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치(빌트인 캠),623
승용,현대자동차,아이오닉9 성능형 AWD,277
승용,현대자동차,아이오닉9 항속형 2WD,279
승용,현대자동차,아이오닉9 항속형 AWD,276
승용,현대자동차,GV60 퍼포먼스 AWD 21인치(2025),248
승용,현대자동차,GV60 스탠다드 AWD 20인치(2025),266
승용,현대자동차,GV60 스탠다드 AWD 19인치(2025),277
승용,현대자동차,GV60 스탠다드 2WD 19인치(2025),290
승용,기아,EV9 롱레인지 2WD 19인치,275
승용,기아,EV9 롱레인지 2WD 20인치,273
승용,기아,EV9 롱레인지 4WD 19인치,259
승용,기아,EV9 롱레인지 4WD 21인치,265
승용,기아,EV9 롱레인지 GTL 4WD 21인치,257
승용,기아,더뉴EV6 롱레인지 4WD 20인치,617
승용,기아,더뉴EV6 롱레인지 2WD 20인치,644
승용,기아,더뉴EV6 롱레인지 4WD 19인치,646
승용,기아,더뉴EV6 롱레인지 2WD 19인치,655
승용,기아,EV3 스탠다드 2WD,479
승용,기아,EV3 롱레인지 2WD 17인치,565
승용,기아,EV3 롱레인지 2WD 19인치,565
승용,기아,The all-new Kia Niro EV,590
승용,기아,더뉴EV6 GT,232
승용,기아,더뉴EV6 스탠다드,582
승용,기아,EV9 스탠다드,242
승용,기아,EV4 롱레인지 GTL 2WD 19인치,565
승용,기아,EV4 스탠다드 2WD 19인치,491
승용,기아,EV4 롱레인지 2WD 17인치,565
승용,기아,EV4 롱레인지 2WD 19인치,565
승용,기아,EV4 스탠다드 2WD 17인치,522
승용,BMW,i4 eDrive40,189
승용,BMW,i4 M50,172
승용,BMW,iX1 xDrive30,154
승용,BMW,i4 eDrive40 LCI,187
승용,BMW,MINI Aceman SE,306
승용,BMW,MINI Countryman E,166
승용,BMW,MINI Countryman SE ALL4,158
승용,BMW,iX2 eDrive20,167
승용,BMW,i4 M50 LCI,177
승용,BMW,MINI JCW Aceman E,151
승용,BMW,MINI JCW E,147
승용,BMW,MINI Aceman E,306
승용,BMW,MINI Cooper SE,303
승용,테슬라코리아,Model 3 Long Range,202
승용,테슬라코리아,Model 3 Performance,187
승용,테슬라코리아,Model 3 RWD,186
승용,테슬라코리아,New Model Y Long Range,207
승용,테슬라코리아,New Model Y RWD,188
승용,메르세데스벤츠코리아,EQA250(Facelift),190
승용,메르세데스벤츠코리아,EQB300 4MATIC(Facelift)(5인승),154
승용,메르세데스벤츠코리아,EQB300 4MATIC(Facelift)(7인승),154
승용,케이지모빌리티,토레스 EVX 2WD 18인치,373
승용,케이지모빌리티,토레스 EVX 2WD 20인치,356
승용,케이지모빌리티,코란도 EV 2WD,340
승용,케이지모빌리티,토레스 EVX 20인치,354
승용,케이지모빌리티,토레스 EVX 18인치,364
승용,폴스타오토모티브코리아,Polestar 4 Long Range Single Motor,181
승용,폴스타오토모티브코리아,Polestar 4 Long Range Dual Motor,141
승용,볼보자동차코리아,볼보 EX30 Single Motor ER,247
승용,폭스바겐그룹코리아,아우디 Q4 Sportback 45 e-tron,201
승용,폭스바겐그룹코리아,아우디 Q4 45 e-tron,201
승용,폭스바겐그룹코리아,폭스바겐 ID.4 Pro,422
승용,폭스바겐그룹코리아,아우디 Q6 e-tron performance,220
승용,폭스바겐그룹코리아,BYD ATTO 3,145
경·소형,기아,레이 EV 2WD 14인치 4인승 승용,457
경·소형,기아,레이 EV 2WD 14인치 2인승 밴,457
경·소형,기아,레이 EV 2WD 14인치 1인승 밴,457
경·소형,현대자동차,캐스퍼 일렉트릭 항속형 17인치,500
경·소형,현대자동차,캐스퍼 일렉트릭 항속형 15인치,500
경·소형,현대자동차,캐스퍼 일렉트릭 기본형 15인치,500
승용,현대자동차,캐스퍼 일렉트릭 크로스 17인치,500
